model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDAE,200,1,0.1,300,Cosine,0.3,1,,"[0.0149, 0.0006]","[0.002, 0.0001]","[0.0018, 0.0001]","[0.0017, 0.0001]","[0.0023, 0.0002]","[0.0016, 0.0]","[0.0023, 0.0003]","[0.0124, 0.0008]","[0.0164, 0.0009]","[0.0213, 0.0011]","[0.0071, 0.0006]","[0.0473, 0.0016]"
CDAE,50,1,1E-05,300,Cosine,0.4,1,,"[0.018, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0153, 0.0009]","[0.0212, 0.0011]","[0.0268, 0.0012]","[0.0079, 0.0007]","[0.0559, 0.0017]"
CDAE,50,1,0.0001,300,Cosine,0.4,1,,"[0.0179, 0.0006]","[0.0024, 0.0001]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0027, 0.0002]","[0.0017, 0.0001]","[0.0033, 0.0004]","[0.0155, 0.0009]","[0.0216, 0.0011]","[0.0279, 0.0012]","[0.0085, 0.0007]","[0.0549, 0.0017]"
CDAE,50,1,0.001,300,Cosine,0.4,1,,"[0.0179, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0022, 0.0001]","[0.0028, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0155, 0.0009]","[0.0215, 0.0011]","[0.0279, 0.0012]","[0.0088, 0.0007]","[0.0548, 0.0017]"
CDAE,50,1,0.01,300,Cosine,0.4,1,,"[0.0092, 0.0005]","[0.0012, 0.0001]","[0.0009, 0.0001]","[0.001, 0.0001]","[0.0019, 0.0002]","[0.0008, 0.0]","[0.0023, 0.0003]","[0.0078, 0.0007]","[0.0083, 0.0007]","[0.0131, 0.0009]","[0.006, 0.0006]","[0.0253, 0.0012]"
CDAE,50,1,0.1,300,Cosine,0.4,1,,"[0.0148, 0.0005]","[0.002, 0.0001]","[0.0018, 0.0001]","[0.0017, 0.0001]","[0.0023, 0.0002]","[0.0016, 0.0]","[0.0023, 0.0003]","[0.0124, 0.0008]","[0.0164, 0.0009]","[0.0213, 0.0011]","[0.0071, 0.0006]","[0.0472, 0.0016]"
CDAE,100,1,1E-05,300,Cosine,0.4,1,,"[0.0181, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0018, 0.0001]","[0.0035, 0.0004]","[0.0153, 0.0009]","[0.0207, 0.0011]","[0.0266, 0.0012]","[0.0079, 0.0007]","[0.0562, 0.0017]"
CDAE,100,1,0.0001,300,Cosine,0.4,1,,"[0.0181, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0022, 0.0001]","[0.0028, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0156, 0.0009]","[0.0213, 0.0011]","[0.0276, 0.0012]","[0.0087, 0.0007]","[0.0555, 0.0017]"
CDAE,100,1,0.001,300,Cosine,0.4,1,,"[0.016, 0.0006]","[0.0025, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0028, 0.0002]","[0.0015, 0.0]","[0.0025, 0.0003]","[0.0161, 0.001]","[0.0215, 0.0011]","[0.0269, 0.0012]","[0.009, 0.0007]","[0.0484, 0.0016]"
CDAE,100,1,0.01,300,Cosine,0.4,1,,"[0.005, 0.0004]","[0.0008, 0.0001]","[0.0006, 0.0001]","[0.0005, 0.0]","[0.0012, 0.0001]","[0.0004, 0.0]","[0.0015, 0.0003]","[0.0052, 0.0005]","[0.0054, 0.0005]","[0.0069, 0.0006]","[0.004, 0.0005]","[0.0119, 0.0008]"
CDAE,100,1,0.1,300,Cosine,0.4,1,,"[0.0148, 0.0005]","[0.002, 0.0001]","[0.0018, 0.0001]","[0.0017, 0.0001]","[0.0023, 0.0002]","[0.0016, 0.0]","[0.0023, 0.0003]","[0.0124, 0.0008]","[0.0164, 0.0009]","[0.0213, 0.0011]","[0.0071, 0.0006]","[0.0472, 0.0016]"
CDAE,200,1,1E-05,300,Cosine,0.4,1,,"[0.018, 0.0006]","[0.0024, 0.0001]","[0.0023, 0.0001]","[0.0021, 0.0001]","[0.0026, 0.0002]","[0.0018, 0.0001]","[0.0033, 0.0004]","[0.0153, 0.0009]","[0.0214, 0.0011]","[0.0262, 0.0012]","[0.0082, 0.0007]","[0.0563, 0.0017]"
CDAE,200,1,0.0001,300,Cosine,0.4,1,,"[0.0178, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0022, 0.0001]","[0.0029, 0.0002]","[0.0018, 0.0001]","[0.0025, 0.0003]","[0.0153, 0.0009]","[0.0212, 0.0011]","[0.0274, 0.0012]","[0.0093, 0.0007]","[0.0568, 0.0018]"
CDAE,200,1,0.001,300,Cosine,0.4,1,,"[0.0136, 0.0006]","[0.0022, 0.0001]","[0.0018, 0.0001]","[0.0017, 0.0001]","[0.0027, 0.0002]","[0.0012, 0.0]","[0.0024, 0.0003]","[0.0146, 0.0009]","[0.0178, 0.001]","[0.0221, 0.0011]","[0.0088, 0.0007]","[0.0394, 0.0015]"
CDAE,200,1,0.01,300,Cosine,0.4,1,,"[0.0034, 0.0003]","[0.0003, 0.0001]","[0.0003, 0.0]","[0.0003, 0.0]","[0.0006, 0.0001]","[0.0003, 0.0]","[0.0014, 0.0003]","[0.002, 0.0003]","[0.0024, 0.0004]","[0.0034, 0.0004]","[0.0017, 0.0003]","[0.0095, 0.0007]"
CDAE,200,1,0.1,300,Cosine,0.4,1,,"[0.0148, 0.0005]","[0.002, 0.0001]","[0.0018, 0.0001]","[0.0017, 0.0001]","[0.0023, 0.0002]","[0.0016, 0.0]","[0.0023, 0.0003]","[0.0124, 0.0008]","[0.0164, 0.0009]","[0.0213, 0.0011]","[0.0071, 0.0006]","[0.0472, 0.0016]"
CDAE,50,1,1E-05,300,Cosine,0.5,1,,"[0.018, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0025, 0.0002]","[0.0018, 0.0001]","[0.0034, 0.0004]","[0.0153, 0.0009]","[0.0212, 0.0011]","[0.0266, 0.0012]","[0.0079, 0.0007]","[0.056, 0.0017]"
CDAE,50,1,0.0001,300,Cosine,0.5,1,,"[0.018, 0.0006]","[0.0024, 0.0001]","[0.0023, 0.0001]","[0.0022, 0.0001]","[0.0027, 0.0002]","[0.0018, 0.0001]","[0.0033, 0.0004]","[0.0155, 0.0009]","[0.0217, 0.0011]","[0.0275, 0.0012]","[0.0085, 0.0007]","[0.055, 0.0017]"
CDAE,50,1,0.001,300,Cosine,0.5,1,,"[0.0177, 0.0006]","[0.0024, 0.0001]","[0.0022, 0.0001]","[0.0021, 0.0001]","[0.0028, 0.0002]","[0.0017, 0.0001]","[0.0034, 0.0004]","[0.0153, 0.0009]","[0.021, 0.0011]","[0.027, 0.0012]","[0.0088, 0.0007]","[0.0536, 0.0017]"
CDAE,50,1,0.01,300,Cosine,0.5,1,,"[0.0093, 0.0005]","[0.0012, 0.0001]","[0.0011, 0.0001]","[0.0011, 0.0001]","[0.0019, 0.0002]","[0.0008, 0.0]","[0.0023, 0.0003]","[0.0078, 0.0007]","[0.01, 0.0007]","[0.0139, 0.0009]","[0.006, 0.0006]","[0.0258, 0.0012]"
