,model,rank,alpha,lambda,iter,similarity,corruption,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
16,NCE-PLRec,50,1,100,10,Cosine,0,0.9,,"[0.2064, 0.0009]","[0.1069, 0.0007]","[0.1017, 0.0006]","[0.097, 0.0005]","[0.114, 0.0009]","[0.0763, 0.0004]","[0.098, 0.0007]","[0.1105, 0.0009]","[0.1552, 0.0011]","[0.1948, 0.0012]","[0.0601, 0.0007]","[0.3427, 0.0015]"
17,NCE-PLRec,50,1,100,10,Cosine,0,1.0,,"[0.2092, 0.0009]","[0.1065, 0.0007]","[0.1018, 0.0006]","[0.0976, 0.0005]","[0.1137, 0.0009]","[0.0778, 0.0004]","[0.0972, 0.0007]","[0.1085, 0.0009]","[0.1538, 0.0011]","[0.1952, 0.0013]","[0.0591, 0.0007]","[0.3515, 0.0016]"
18,NCE-PLRec,50,1,100,10,Cosine,0,1.1,,"[0.2079, 0.0009]","[0.1042, 0.0007]","[0.0998, 0.0006]","[0.096, 0.0006]","[0.1114, 0.0009]","[0.0781, 0.0004]","[0.0952, 0.0007]","[0.1045, 0.0009]","[0.1489, 0.0011]","[0.1893, 0.0012]","[0.0566, 0.0006]","[0.353, 0.0016]"
19,NCE-PLRec,50,1,100,10,Cosine,0,1.2,,"[0.201, 0.0009]","[0.1025, 0.0007]","[0.0973, 0.0006]","[0.0932, 0.0006]","[0.1104, 0.0009]","[0.0764, 0.0004]","[0.0926, 0.0007]","[0.0999, 0.0009]","[0.1406, 0.0011]","[0.1782, 0.0012]","[0.0545, 0.0006]","[0.3392, 0.0016]"
20,NCE-PLRec,50,1,100,10,Cosine,0,1.3,,"[0.1904, 0.0009]","[0.1028, 0.0007]","[0.0967, 0.0006]","[0.0919, 0.0006]","[0.1123, 0.001]","[0.0739, 0.0004]","[0.0929, 0.0007]","[0.0951, 0.0008]","[0.1321, 0.001]","[0.1656, 0.0011]","[0.0532, 0.0006]","[0.3086, 0.0015]"
21,NCE-PLRec,50,1,1000,10,Cosine,0,0.7,,"[0.1962, 0.0009]","[0.1037, 0.0007]","[0.098, 0.0006]","[0.0933, 0.0005]","[0.1112, 0.0009]","[0.0735, 0.0004]","[0.0943, 0.0006]","[0.1046, 0.0009]","[0.1463, 0.001]","[0.1828, 0.0012]","[0.0571, 0.0006]","[0.3222, 0.0015]"
22,NCE-PLRec,50,1,1000,10,Cosine,0,0.8,,"[0.202, 0.0009]","[0.1058, 0.0007]","[0.1002, 0.0006]","[0.0954, 0.0005]","[0.113, 0.0009]","[0.075, 0.0004]","[0.0969, 0.0007]","[0.1091, 0.0009]","[0.1525, 0.0011]","[0.1905, 0.0012]","[0.0594, 0.0006]","[0.3331, 0.0015]"
23,NCE-PLRec,50,1,1000,10,Cosine,0,0.9,,"[0.2064, 0.0009]","[0.1069, 0.0007]","[0.1017, 0.0006]","[0.097, 0.0005]","[0.114, 0.0009]","[0.0763, 0.0004]","[0.098, 0.0007]","[0.1105, 0.0009]","[0.1552, 0.0011]","[0.1948, 0.0012]","[0.0601, 0.0007]","[0.3427, 0.0015]"
24,NCE-PLRec,50,1,1000,10,Cosine,0,1.0,,"[0.2092, 0.0009]","[0.1065, 0.0007]","[0.1018, 0.0006]","[0.0976, 0.0005]","[0.1137, 0.0009]","[0.0778, 0.0004]","[0.0972, 0.0007]","[0.1085, 0.0009]","[0.1538, 0.0011]","[0.1952, 0.0013]","[0.0591, 0.0007]","[0.3515, 0.0016]"
25,NCE-PLRec,50,1,1000,10,Cosine,0,1.1,,"[0.2079, 0.0009]","[0.1042, 0.0007]","[0.0998, 0.0006]","[0.096, 0.0006]","[0.1114, 0.0009]","[0.0781, 0.0004]","[0.0952, 0.0007]","[0.1045, 0.0009]","[0.1489, 0.0011]","[0.1893, 0.0012]","[0.0566, 0.0006]","[0.353, 0.0016]"
26,NCE-PLRec,50,1,1000,10,Cosine,0,1.2,,"[0.201, 0.0009]","[0.1025, 0.0007]","[0.0973, 0.0006]","[0.0932, 0.0006]","[0.1105, 0.0009]","[0.0764, 0.0004]","[0.0926, 0.0007]","[0.0999, 0.0009]","[0.1406, 0.0011]","[0.1782, 0.0012]","[0.0545, 0.0006]","[0.3392, 0.0016]"
27,NCE-PLRec,50,1,1000,10,Cosine,0,1.3,,"[0.1904, 0.0009]","[0.1028, 0.0007]","[0.0967, 0.0006]","[0.0919, 0.0006]","[0.1123, 0.001]","[0.0739, 0.0004]","[0.0929, 0.0007]","[0.0951, 0.0008]","[0.1321, 0.001]","[0.1656, 0.0011]","[0.0532, 0.0006]","[0.3086, 0.0015]"
28,NCE-PLRec,50,1,10000,10,Cosine,0,0.7,,"[0.1962, 0.0009]","[0.1037, 0.0007]","[0.0981, 0.0006]","[0.0933, 0.0005]","[0.1112, 0.0009]","[0.0735, 0.0004]","[0.0943, 0.0006]","[0.1046, 0.0009]","[0.1463, 0.001]","[0.1828, 0.0012]","[0.0571, 0.0006]","[0.3223, 0.0015]"
